name,rating,text,duration
Mike Cheng, 5 stars ,"We were there at Ramsey's kitchen last night celebrating my daughter's 18th birthday while vacationing in Las Vegas for Christmas.  Also, we are here to see if Gordon Ramsey's restaurant are worth the hype. Well, behold, it was worth the hype, and the service was impeccable.  I had watched just a few videos prior to going to see what dishes are worth trying, and ended up getting the lump crab cakes, King crab leg and 1/2 dozen oysters on a half shell for appetizers.  Definitely amazing and delicious.  Then for entrées, we ordered Crispy skin Salmon, Pan Speared Scallops, and a 24 oz bone-in Ribeye.  They were unbelievable.  However, the ribeye was not as tender as I had expected even though I had ordered medium rare.  So, perhaps it's the type of beef or it wasn't aged that it was chewy.  Then we had an incredible potatoes puree that was silky smooth and Mac and Cheese to share.  Finally, we ordered the Sticky Toffee Pudding and Eton's Mess, which both were absolutely amazing.  In fact, I believe the dessert was the highlight of the meal, but everything else was definitely worth the money and experience.  Reservation is a must, and I'd would at least book a month ahead.  Overall, highly recommended!",2 months ago
Penny Erickson, 5 stars ,"100% Recommended! We looked at the menu before arriving so knew exactly what to order. Two appetizers, two entrees, two desserts and one cocktail came out to just over $200. I find that MORE than reasonable for the wonderful taste experience we had. Everything was fresh and delicious. The ONLY thing wrong is it’s in Vegas and I’m not anymore. I want to go back. I cannot end this review without mentioning the staff. They were as much a part of the experience as the meal and just as great!",2 months ago
Andre, 5 stars ,"We went here for our Christmas dinner. We were there 15 minutes before our reserved time and were kindly directed to the bar where we drank a delicious cocktail.
Our table was ready at the time reserved.
We had the king crab for starters. Sharing the starter was not a problem. The appetizer was delicious.
For mains we had the Filet Mignon and the Beef Wellington. The two main courses tasted excellent and were perfectly prepared.
The dessert was also very tasty.
The staff was nice and helpful.
The restaurant itself is stylishly furnished, but you have to go from the restaurant to the casino to get to the toilet.
We had a great evening at Ramsay's Kitchen!",2 months ago
Nick D, 5 stars ,This place was amazing the decor was very nice for a kitchen in a hotel by Gordon. The service was the best everyone was so nice and enjoyed working there especially my waiter names Jeff who was very helpfull and nice. Lastly the food is worth every penny has items from the actual hells kitchen such as the wellington and filet mingnon that we got which were so good even in medium rare which we dont really get. This place was the best 10/5,2 months ago
Sherry Zhu, 5 stars ,"This place was sooooo good. We had onion soup, Beef Wellington, Salmon, Mac n Cheese, a chocolate mousse and toffee pudding. Every single dish was beyond my expectations. The service was fantastic and we were well taken care of. Price is reasonable giving the food and service quality here.",2 months ago
R C, 5 stars ,Great foods! Service is super good too! Will definitely come back!,2 months ago
Brenda V., 5 stars ,"Beautiful restaurant with great food and friendly, knowledge staff. The food did not disappoint and I can't wait to go back. The Butternut Squash Risotto was so good I actually just savored every bite! Natalie, our server, had many gluten free options for my friend to choose from. Then, dessert, the sticky toffee pudding... Perfect!",3 months ago
Bench Press Betty, 5 stars ,"My fiancé and I were looking for a romantic restaurant to celebrate the debut of my new small business at the Olympia Expo and we learned about Ramsay’s new restaurant in Harrahs!

Tucked away in a quiet corner, it has a very classy and intimate feel. The staff were very warm and welcoming. We hadn’t made a reservation ahead, but we’re able to sit in the lounge area of the bar. It was very roomy and comfortable.

Their beverage menu was extensive, and so enticing it was hard to decide! I noticed several patrons at the bar sipping the Prestige Martini, and never having had a classic gin martini, I decided to give it a try! It was delicious with just enough lemon zest to balance the gin. They’d sprinkled some sprigs of saffron in it which tasted great, but I later learned it does stain your teeth…might not want to include that if you have pearly whites.

I’d always wanted to try Beef Wellington! When it came to our table, I was in awe! The crust was cooked perfectly crisp. I’d ordered it medium, and it was cooked just right. The potato purée was a nice balance to the flavors of the Wellington. I wish I could have requested some additional red wine demi-glace. It was so rich and delicious!

My fiancé got a filet mignon and it was just the right portion. They offer toppings, but he enjoyed just eating it without. We also split a family style portion of creamy mac & cheese.

I only wish we’d had enough room left to try their savory sweet desserts! Gordon Ramsey features a recipe he learned from his mother for sticky toffee pudding and it was the talk of the town! Perhaps next time we visit, we’ll drop by JUST for drinks and dessert!

It was the perfect ending to a wonderful weekend that will hopefully open many doors and opportunities for my new growing small business!",3 months ago
Adam Deary, 5 stars ,Fantastic meal for thanks giving. Service and quality of food was incredible.,3 months ago
Gregory Pappas, 3 stars ,"We wanted to be impressed with Ramsay's new restaurant. First impression is not great as it's right off the casino floor, and not a particularly upscale casino in the least. Wife's birthday so we had noted such on the reservation which was acknowledged. Nonetheless we got seated in terribly uncomfortable chairs and table just next to the bar and barely in from the casino floor. They accommodated our polite request to move gladly, but my wife noticed the server whose section we moved to roll her eyes when told of our move request. That is tough to overlook. However service was fine with a smile. In general the service 'warmth' seemed contrived and scripted. Prices are aligned with this type of restaurant in Vegas...meaning overpriced. Wine selection was so disappointing, minimal options by the glass. It was similar selection to more casual restaurants, nothing particularly interesting. I asked if they had a zinfandel by chance despite not being on the list. Typically in fine dining restaurants they will check with the sommelier (which I don't think they have) or the bartender and consider opening a bottle. I was shot down with just a comment that they don't have zin by the glass. Okay fine. We shared a mixed green salad to start. Very bitter from the excessive kale, little creativity and the dressing wasn't balanced to my taste. Then we shared a crab cake and the signature beef Wellington. Crab cake was phenomenal. Pure lump and jumbo lump meat with no filler. A top 3 I've ever eaten. The beef was fine. Cooked properly, but lacked a punch of flavor. It was simply okay, and not worth the price to us. I certainly wouldn't go back except for the crab cake possibly. Perhaps we are spoiled by the amazing quality and value of so many restaurants in our foodie city of Houston. I always feel a bit disappointed with Vegas fine dining and this was no exception.",3 months ago
Broadus West, 1 star ,"Thumbs Down the food was cold and disgusting. But get this the service was worse than that. For the over priced slop that we had.
""Never again""",3 months ago
Joshua Hughes, 1 star ,"Worst food in Vegas to date.

Came for dinner, got seated behind a pole. Ordered crab cake, salmon, and Mac and cheese.

First salmon came out raw and cold. Second one wasn’t much better but at least edible. Rest of the food was just ok.

Manager, I assume, brought the second one and said he would comp the meal. But then got the check for everything including 2 salmons.

They took the second one off but still way too much for the lackluster meal and service. Standards at his other restaurants set the bar too high for this one.

Will not return most likely.",3 months ago
Darren Ursua, 5 stars ,"We decided to eat here for my friend’s last stay for the night in Vegas. I Didn't know there was Ramsay’s kitchen at Harrah's. It was a weekday that wasn't too crowded, and we were seated right away. Everyone greeted us and helped us throughout our stay. We had the beef Wellington, which surprised made me whole. The salmon and oysters were also good choices. Pricey, but we expected that. Highly recommend.",3 months ago
Kassi Zorzan, 5 stars ,"I can’t even. This was our first Gordon Ramsay restaurant- and it was also a last minute find. We didn’t even realize it’s only been open a month.

HOLY COW was it amazing. Gordon Ramsay- you know where it’s at!

Ambiance and decor were amazing. Our waitress was SO good and so much fun. She was awesome.

The food though- absolutely spectacular. Everything. 2 appetizers, 1 side, 3 dishes for 3 people, and 2 dessert. All amazing. Both my husband and I actually thought it was better than the Michelin restaurant we went to on the strip.

You will not be sorry! To treat yourself!",3 months ago
Miguel Cordero, 5 stars ,Good food and our wait staff were top notch. Definitely a good experience!,3 months ago
Erica Appleton, 5 stars ,Amazing food. The mushrooms were an experience of their own! By far one of the top 3 best things I’ve ever ate. The steak was amazing too. Worth every penny. Staff were amazing and the restaurant is beautiful!,3 months ago
Tara Howe, 5 stars ,"Utterly phenomenal experience. Food was fantastic, service was exceptional, and just so damn amazing.",3 months ago
Gregory Will, 5 stars ,Great food! Great service!,3 months ago
William Moloney, 3 stars ,"The staff was friendly, polite, and helpful.

The food here was mediocre at best - on par with what you get at an Applebee's or Fridays. I had the butternut squash risotto (listed as a signature dish).  The risotto was greasy and heavy.
Everything is served a la carte, so we ordered and shared all of the sides available on the menu. The asparagus was so undercooked that it was too tough to eat and went to waste; the potato puree  had so much crema in them that they didn't even taste like potatoes; the broccoli was decent but nothing special- basically what you would expect from a big box chain restaurant; the mushrooms were good; the mac and cheese was overdone and tasted like it came from a box. In the end, most of the sides were so mediocre that they went unfinished. The only saving grace of the whole meal was the sticky toffee pudding dessert - which was very good. The dessert drove this rating up a star. Without dessert, I would have given 2 stars.

I came with higher expectations given how picky Gordon is, but I left disappointed and wondering - what if Gordon himself was served food like this?",3 months ago
Roger Leek, 4 stars ,"I wish I could give five stars, but my Beef Wellington was mushy and only lukewarm. My table mates said I should send it back, but honestly there is some level of intimidation at the thought of sending back Ramsay's signature dish. Otherwise our experience was pretty good. The restaurant wasn't too busy, so our waiter was very suggestive, to the point of annoyance at times and seemed visibly disappointed if we didn't order something he suggested. He also wouldn't tell us the price of the special when we asked. Overall, I'd probably go again and not get the Wellington.",3 months ago
Dave Hoder, 3 stars ,"We were there the first Saturday they were open, and I expected better - It seems Gordon Ramsay is just selling his name since he wasn't even there to oversee the opening of his own restaurant. I’ve been a line cook at the opening of a new restaurant and know it takes a bit of time for everyone to find their rhythm but no one in the kitchen seemed to be in charge.

For a starter we ordered a simple flatbread and it took an hour to arrive (we had an early 6:15 reservation and the restaurant wasn’t even half full yet). When it finally came it tasted good but was greasy and soggy.

I had Beef Wellington for the first time and the pastry was thin and soggy. It looked good but I expected something similar to a pot pie crust with some bite to it.

My wife had the Salmon and while it was perfectly cooked, the texture was mushy instead of flakey (like maybe it was pre-cooked in a Sous Vide). I’m from the Pacific Northwest and know the taste and texture of good salmon.

The staff was great and didn’t charge us for the late starter and even gave us complimentary deserts since we were there over 2 hours.

Hey Gordon: Put on some makeup so they don’t recognize you and go critique your own restaurant 😊",3 months ago
Brandon M, 3 stars ,"I'm at a loss here. I really wanted to like this, as I've been a huge Ramsay fan for years, been to every 1 of his places both in vegas and to the la hk. This place is missing some magic. It was very drab and almost empty for an opening weekend(11/19/22) Felt like an old forgotten second restaurant that everyone left in the past. Had a dramatic uprising argument break out on the floor and the place still felt stodgy. Its clear that they were going for a low key lounge type of place, a complete removal from the extravagant fancy environment of usual Ramsay locales. Friendly staff, pretty quick food turnaround and though I've always felt every restaurant uses way too much salt (and this place is absolutely no exception) myself and my girlfriend did enjoy the dinner. But next time I'll be going back to a mainstay. Just not the fine dining experience I go out for here. Not a total negative time, just not what I would have hoped for.",3 months ago
Bri M, 5 stars ,"Amazing restaurant! Went on the official opening day 11/25 (it was in a soft launch for a couple weeks). Ordered a couple cocktails, the oysters, salmon (it's supposed to be cooked medium rare, per the waiter), and the toffee pudding. Everything was so delicious, plated beautifully, and we had a wonderful waiter!! I loved the ambience and the attention to detail when it came to serving us. Wait time felt like nothing. Everything was impressive.

I will be definitely be coming back and telling everyone about this place. I loved Hell's Kitchen, but this will definitely be my new spot. It's worth every penny. ****I'm also in the food industry as a GM ;)",3 months ago
Jeremiah G, 5 stars ,Great food and amazing service. Beef Wellington was cook to perfection!,3 months ago
Jason Hamilton, 5 stars ,"Considering how new this place is (Nov 2022), they're excellent right out of the gate. Service was amazing. I skipped appetizers and went straight for the files mignon. I've had many great steaks all over N America and this one will be memorable. Perfectly cooked, but I was even more impressed with the sheer quality and flavor of the cut.
Drinks were excellent, prices are good for where you are and what you're getting.
Great evening.",3 months ago
Eric The Ruler, 5 stars ,"Ramsay's Kitchen was a top notch experience and I've a whole section in a different restaurant cleared out for me so I don't say that lightly. My server Kelsey really displayed the best customer service I've seen. Garrett, the server's assistant, was genuinely friendly. I felt like a star. I'm definitely looking forward to my next visit!",3 months ago
Chris Williams, 5 stars ,"The staff are spectacular. Dana was utterly amazing. I would return simply because of her attentiveness and friendly demeanor.

Bathrooms are outside the restaurant at this time and that is a little annoying. It seems they are still being worked on though so should be available soon.

Cocktails and the bar staff themselves are great.

Food was generally very very good. My steak was over done but they offered to fix it right away. I am not one to waste a cut of steak so I ate mine and it was still good. The manager came over as I was finishing and he offered to prepare another steak for me. That was appreciated but not necessary.
The sticky toffee pudding, is different from Hell's Kitchen but is equally as delicious.

If you are looking for some Ramsay flare, you will find it here. Will very likely return on the next trip to Vegas!",3 months ago
Craig Gibson, 5 stars ,"Waitstaff was incredibly attentive and great.

Food was wonderful as well.",3 months ago
Bandido Anderson, 5 stars ,Service was amazing.,3 months ago
Jeff Lawrence, 5 stars ,"After years of following chef Ramsey and this being the first visit to any of his restaurants, this experience did NOT disappoint! It was amazing! Thank you!",4 months ago
Lily, 5 stars ,"Really good food and great service from our waitress Sue. Got beef wellington, pan seared scallops, beef carpaccio, foie gras, and sticky toffee pudding.",4 months ago
